
2025/03/12 (12:52:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (20:58:25) | ===> btop++ v.1.4.0
2025/03/14 (20:58:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/14 (20:58:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (20:58:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/14 (20:58:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/17 (10:18:33) | ===> btop++ v.1.4.0
2025/03/17 (10:18:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/17 (10:18:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (10:18:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/17 (10:18:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/17 (10:18:39) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (10:18:44) | ===> btop++ v.1.4.0
2025/03/17 (10:18:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/17 (10:18:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (10:18:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/17 (10:18:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/17 (10:18:47) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (12:39:32) | ===> btop++ v.1.4.0
2025/03/17 (12:39:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/17 (12:39:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/17 (12:39:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/17 (12:39:32) | WARNING: ROCm SMI: Failed to get PCIe throughput
